nome_fii;liq diaria;ultimo rend;yield;patrim liquido;valor patrim;rent mes;p/vp
VGHF11;1023478;0,13;0,0128;611900000,0;9,4;-0,001;1,04
VGIA11;88773;0,15;0,0139;95700000,0;9,51;0,0149;1,18
VGIP11;21774;1,5;0,0151;869500000,0;93,56;0,0028000000000000004;1,06
VGIR11;21069;1,2;0,012;731400000,0;96,61;-0,0014000000000000002;1,02
VIFI11;20574;0,06;0,0083;73000000,0;0,9;0,0197;7,81
VILG11;21569;0,7;0,0069;1700000000,0;113,61;0,0351;0,87
VINO11;29878;0,34;0,0066;904500000,0;54,6;0,0828;0,87
VISC11;17288;0,7;0,0068000000000000005;2000000000,0;115,65;0,057699999999999994;0,88
VIUR11;28727;0,07;0,0102;258200000,0;95,84;0,0412;0,08
VJFD11;0;1,03;0,0;650800000,0;133,47;0,0;0,0
VLOL11;203;0,62;0,0063;184800000,0;103,54;0,0273;0,93
VOTS11;8;1,4;0,0144;81000000,0;97,79;0,1042;0,96
VPSI11;0;0,09;0,0;149400000,0;18,51;0,0;0,0
VRTA11;25609;1,2;0,011699999999999999;1300000000,0;96,64;-0,006500000000000001;1,03
VSHO11;57;0,69;0,0076;214900000,0;102,38;0,0138;0,78
VSLH11;92223;0,11;0,0118;303200000,0;10,15;-0,0125;0,9
VTLT11;601;0,83;0,009000000000000001;218900000,0;103,48;-0,025699999999999997;0,87
VTPL11;0;0,0;0,0;106300000,0;76,69;0,0;0,0
VVPR11;10198;0,77;0,008199999999999999;238400000,0;103,41;0,0168;0,94
VXXV11;2269;10,76;0,0;144700000,0;818,7;0,0;1,04
WPLZ11;80;0,15;0,004;105000000,0;102,84;0,0177;0,64
WTSP11B;9;0,32;0,0076;79000000,0;79,58;0,0076;0,49
XPCA11;69373;0,05;0,013500000000000002;134500000,0;9,54;0,068;1,05
XPCI11;25050;1,18;0,012199999999999999;670500000,0;97,34;0,0245;0,97
XPCM11;4588;0,18;0,0103;129900000,0;53,78;0,0345;0,31
XPHT11;10;0,05;0,001;357900000,0;94,06;0,001;1,11
XPIN11;8010;0,61;0,0078000000000000005;784300000,0;109,68;-0,0689;0,7
XPLG11;30942;0,66;0,0067;3100000000,0;113,25;0,0124;0,84
XPML11;25409;0,68;0,006999999999999999;1900000000,0;101,32;-0,0197;0,98
XPPR11;11246;0,45;0,0077;574200000,0;78,49;0,047400000000000005;0,69
XPSF11;182572;0,68;0,009300000000000001;378800000,0;8,75;0,0588;0,81
XTED11;427;0,0;0,0;27300000,0;13,89;0,011000000000000001;0,43
YCHY11;65;19,41;0,0194;23100000,0;989,04;-0,06480000000000001;1,01
YUFI11B;0;0,79;0,0;41200000,0;104,32;0,0;0,0
