nome_fii;liq diaria;ultimo rend;yield;patrim liquido;valor patrim;rent mes;p/vp
HGCR11;18.540;R$ 1,10;1,04%;R$ 1,5 bi;R$ 102,52;1,00%;1,03
HGFF11;5.060;R$ 0,62;0,82%;R$ 256,5 mi;R$ 89,58;5,53%;0,81
HGIC11;3;R$ 0,99;0,90%;R$ 31,2 mi;R$ 112,20;2,33%;0,99
HGLG11;29.107;R$ 1,10;0,67%;R$ 3,2 bi;R$ 148,59;1,11%;1,11
HGPO11;4.710;R$ 1,35;0,52%;R$ 470,1 mi;R$ 268,19;1,00%;0,96
HGRE11;13.271;R$ 0,78;0,61%;R$ 1,9 bi;R$ 164,64;4,49%;0,79
HGRS11;N/A;R$ 0,00;0,00%;R$ 107,9 mi;R$ 90,32;0,00%;N/A
HGRU11;23.532;R$ 0,82;0,71%;R$ 2,2 bi;R$ 118,84;3,95%;0,99
HLOG11;1.168;R$ 0,65;0,71%;R$ 475,9 mi;R$ 111,98;2,38%;0,77
HMOC11;115;R$ 23,80;10,49%;R$ 91,2 mi;R$ 238,79;10,49%;0,95
HOSI11;124;R$ 0,36;0,49%;R$ 52,6 mi;R$ 91,75;3,25%;0,75
HPDP11;93;R$ 0,45;0,55%;R$ 275,7 mi;R$ 94,78;3,04%;0,87
HRDF11;338;R$ 6,80;N/A;R$ 9,7 mi;R$ 1,28;N/A;0,94
HREC11;110;R$ 1,00;1,04%;R$ 431,6 mi;R$ 92,68;0,46%;1,04
HSAF11;5.512;R$ 1,25;1,21%;R$ 168,4 mi;R$ 94,95;0,86%;0,99
HSLG11;3.817;R$ 0,65;0,71%;R$ 1,4 bi;R$ 110,82;1,18%;0,78
HSML11;30.292;R$ 0,60;0,74%;R$ 1,5 bi;R$ 93,76;1,07%;0,85
HSRE11;11;R$ 0,56;0,56%;R$ 827,1 mi;R$ 97,10;0,56%;1,02
HTMX11;1.187;R$ 0,00;0,00%;R$ 161,9 mi;R$ 128,76;-28,14%;0,60
HUSC11;34;R$ 0,88;0,96%;R$ 113,6 mi;R$ 142,96;-6,38%;0,66
HUSI11;7.000;N/A;N/A;R$ 113 mi;R$ 979,14;N/A;1,00
IBCR11;1.847;R$ 1,00;1,24%;R$ 78,9 mi;R$ 98,26;1,88%;0,96
IBFF11;1.710;R$ 0,50;0,85%;R$ 48,4 mi;R$ 72,54;0,55%;0,86
IDFI11;18;R$ 0,64;1,32%;R$ 180,2 mi;R$ 87,57;-2,72%;0,99
IFID11;350;R$ 1,00;1,20%;R$ 66,9 mi;R$ 89,43;6,20%;0,90
IFIE11;1.082;R$ 0,55;0,75%;R$ 74,9 mi;R$ 83,22;1,38%;0,86
IRDM11;46.730;R$ 1,26;1,19%;R$ 3,2 bi;R$ 96,92;-3,82%;1,08
IRIM11;9.721;R$ 1,18;1,37%;R$ 130,5 mi;R$ 100,39;-1,06%;1,03
ITIP11;798;R$ 1,02;1,23%;R$ 65,4 mi;R$ 87,37;3,23%;0,98
ITIT11;1.077;R$ 0,56;0,79%;R$ 72 mi;R$ 79,95;-1,70%;0,89
JFLL11;2.212;R$ 0,62;0,78%;R$ 150,4 mi;R$ 100,26;8,03%;0,71
JGPX11;2.590;R$ 1,04;1,25%;R$ 81,4 mi;R$ 95,98;3,50%;1,03
JPPA11;3.135;R$ 1,80;1,74%;R$ 64,6 mi;R$ 106,88;5,73%;0,97
JRDM11;224;R$ 0,05;0,62%;R$ 220,5 mi;R$ 87,42;3,16%;0,88
JSAF11;1.224;R$ 0,93;1,09%;R$ 153,8 mi;R$ 97,76;3,39%;0,85
JSRE11;29.301;R$ 0,49;0,63%;R$ 2,4 bi;R$ 113,67;6,79%;0,68
KEVE11;1;R$ 5,48;N/A;R$ 143,8 mi;R$ 973,89;N/A;0,96
KFOF11;2.185;R$ 0,68;0,85%;R$ 432,9 mi;R$ 95,49;5,46%;0,83
KINP11;11.216;R$ 0,29;2,90%;R$ 48,6 mi;R$ 6,80;2,90%;1,88
KISU11;145.026;R$ 0,08;0,85%;R$ 399,7 mi;R$ 9,04;0,59%;0,83
KNCA11;15.809;R$ 1,09;1,04%;R$ 512 mi;R$ 100,39;3,44%;1,08
KNCR11;95.444;R$ 0,97;0,95%;R$ 4 bi;R$ 101,11;0,73%;1,00
